Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,AveraCoftwo,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes
51040,Truffles,1,Bangalore,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore",Koramangala 5th Block,"Koramangala 5th Block, Bangalore",77.61,12.93,"American, Burger, Cafe",800.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,2,4.7,Dark Green,Excellent,9667
51705,Toit,1,Bangalore,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,"Indiranagar, Bangalore",77.64,12.98,"Italian, American, Pizza",2000.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,4,4.8,Dark Green,Excellent,9587
308322,Hauz Khas Social,1,New Delhi,"9A & 12, Hauz Khas Village, New Delhi",Hauz Khas Village,"Hauz Khas Village, New Delhi",77.19,28.55,"Continental, American, Asian, North Indian",1600.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,3,4.3,Green,Very Good,7931
20404,Peter Cat,1,Kolkata,"18A, Park Street, Park Street Area, Kolkata",Park Street Area,"Park Street Area, Kolkata",88.35,22.55,"Continental, North Indian",1000.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,3,4.3,Green,Very Good,7574
56618,AB's  Absolute Barbecues,1,Bangalore,"90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, Bangalore",Marathahalli,"Marathahalli, Bangalore",77.7,12.95,"European, Mediterranean, North Indian",1400.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.6,Dark Green,Excellent,6907
20842,Barbeque Nation,1,Kolkata,"K1, RDB Boulevard, Block EP & GP, Sector 5, Salt Lake","Sector 5, Salt Lake","Sector 5, Salt Lake, Kolkata",88.43,22.57,"North Indian, Chinese",1600.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.9,Dark Green,Excellent,5966
58882,Big Brewsky,1,Bangalore,"Behind MK Retail, Before WIPRO Corporate Office, Sarjapur Road, Bangalore",Sarjapur Road,"Sarjapur Road, Bangalore",77.68,12.91,"Finger Food, North Indian, Italian, Continental, Thai, South Indian",1800.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,3,4.5,Dark Green,Excellent,5705
94286,AB's  Absolute Barbecues,1,Hyderabad,"Plot 483, 4th Floor, Pemmasani Complex, Bajaj Electronics Building, Near Madhapur Police Station, Road 36, Jubilee Hills, Hyderabad",Jubilee Hills,"Jubilee Hills, Hyderabad",78.4,17.44,"European, Mediterranean, North Indian",1500.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.9,Dark Green,Excellent,5434
54162,The Black Pearl,1,Bangalore,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,"Koramangala 5th Block, Bangalore",77.62,12.93,"North Indian, European, Mediterranean",1400.00,Indian Rupees(Rs.),TRUE,FALSE,FALSE,3,4.1,Green,Very Good,5385
20870,BarBQ,1,Kolkata,"434755, Park Street Area, Kolkata",Park Street Area,"Park Street Area, Kolkata",88.35,22.55,"Chinese, North Indian",900.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,2,4.2,Green,Very Good,5288
900,Saravana Bhavan,1,New Delhi,"P13, Connaught Circus, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,South Indian,500.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,2,4.3,Green,Very Good,5172
35217,Joey's Pizza,1,Mumbai,"6 & 7, Upvan Building, Near Indian Oil Colony, DN Nagar, Azad Nagar, Mumbai",Azad Nagar,"Azad Nagar, Mumbai",72.83,19.13,Pizza,800.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,2,4,Green,Very Good,5145
1614,Big Chill,1,New Delhi,"68A, Khan Market, New Delhi",Khan Market,"Khan Market, New Delhi",77.23,28.6,"Italian, Continental, European, Cafe",1500.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.5,Dark Green,Excellent,4986
301605,Warehouse Cafe,1,New Delhi,"D 19/20, 1st Floor, Inner Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"American, Continental, Italian, North Indian, Asian",1500.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,3.7,Yellow,Good,4914
463,Karim's,1,New Delhi,"16, Gali Kababian, Jama Masjid, New Delhi",Jama Masjid,"Jama Masjid, New Delhi",77.23,28.65,"Mughlai, North Indian",800.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,2,4,Green,Very Good,4689
20350,Mocambo,1,Kolkata,"25B Park Street, Park Street Area, Kolkata",Park Street Area,"Park Street Area, Kolkata",88.35,22.55,"Continental, Italian, North Indian",1050.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,3,3.5,Yellow,Good,4464
308022,Farzi Cafe,1,Gurgaon,"78, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City","Cyber Hub, DLF Cyber City, Gurgaon",77.09,28.5,Modern Indian,2200.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,4,4.3,Green,Very Good,4385
799,Gulati,1,New Delhi,"6, Pandara Road Market, New Delhi",Pandara Road Market,"Pandara Road Market, New Delhi",77.23,28.61,"North Indian, Mughlai",1500.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,3,4.4,Green,Very Good,4373
304262,Ricos,1,New Delhi,"2526, 1st Floor, Hudson Lane, Kingsway Camp, Delhi UniversityGTB Nagar, New Delhi",Delhi UniversityGTB Nagar,"Delhi UniversityGTB Nagar, New Delhi",77.2,28.69,"Cafe, Mexican, American, Italian, Lebanese, Continental",900.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,2,4.3,Green,Very Good,4085
301700,Big Yellow Door,1,New Delhi,"H8 B, Near GTB Nagar Metro Station, Opposite Hudson Lane's NDPL Office, Vijay Nagar, New Delhi",Vijay Nagar,"Vijay Nagar, New Delhi",77.2,28.69,"Cafe, Italian, Fast Food",600.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,2,4.3,Green,Very Good,3986
65055,Barbeque Nation,1,Chennai,"Shri Devi Park Hotel, 1, Hanumantha Road, North Usman Road, T. Nagar, Chennai",T. Nagar,"T. Nagar, Chennai",80.23,13.05,"North Indian, Continental",2000.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,4,4.4,Green,Very Good,3848
5030,Out Of The Box,1,New Delhi,"9A, 2nd & 3rd Floor, Hauz Khas Village, New Delhi",Hauz Khas Village,"Hauz Khas Village, New Delhi",77.19,28.55,"American, North Indian, European, Asian",1800.00,Indian Rupees(Rs.),TRUE,FALSE,FALSE,3,3.7,Yellow,Good,3697
4249,Wenger's,1,New Delhi,"A16, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"Bakery, Fast Food, Desserts",400.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,1,4.3,Green,Very Good,3591
4959,Downtown  Diners & Living Beer Cafe,1,Gurgaon,"SCO 34, Main Market, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.06,28.47,"North Indian, Chinese, Italian, Continental",1800.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.4,Green,Very Good,3569
56464,Glen's Bakehouse,1,Bangalore,"297, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,"Indiranagar, Bangalore",77.64,12.98,"Bakery, Desserts, Cafe",800.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,2,4,Green,Very Good,3533
1777,Rajinder Da Dhaba,1,New Delhi,"AB14, Safdarjung Enclave Market, Safdarjung, New Delhi",Safdarjung,"Safdarjung, New Delhi",77.2,28.57,"North Indian, Mughlai, Chinese",800.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,2,4.3,Green,Very Good,3530
1819,The All American Diner,1,New Delhi,"India Habitat Centre, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi",77.23,28.59,"American, Fast Food",1000.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.1,Green,Very Good,3495
309790,The Vault Cafe,1,New Delhi,"F60, 2nd Floor, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"North Indian, Mediterranean, Asian, Continental",1600.00,Indian Rupees(Rs.),TRUE,FALSE,FALSE,3,3.9,Yellow,Good,3413
90744,Exotica,1,Hyderabad,"Opposite Audi Showroom, 5th Floor, 12th Square Building, Road 12, Banjara Hills, Hyderabad","12th Square Building, Banjara Hills","12th Square Building, Banjara Hills, Hyderabad",78.44,17.41,"Mughlai, North Indian, Chinese",1500.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,3,4.3,Green,Very Good,3374
49003,SpiceKlub,1,Mumbai,"8A, Janta Industrial Estate, Opposite Phoenix Mills, Senapati Bapat Road, Lower Parel, Mumbai",Lower Parel,"Lower Parel, Mumbai",72.83,18.99,North Indian,1500.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,3,4.2,Green,Very Good,3370
306503,Big Yellow Door,1,New Delhi,"H8, Opposite Venkateswara College, Satyaniketan, New Delhi",Satyaniketan,"Satyaniketan, New Delhi",77.17,28.59,"Cafe, Fast Food, Italian",600.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,2,4.2,Green,Very Good,3311
17806994,Mirchi And Mime,1,Mumbai,"Transocean House, Lake Boulevard, Hiranandani Business Park, Powai, Mumbai",Powai,"Powai, Mumbai",72.91,19.12,"North Indian, South Indian, Mughlai",1500.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.9,Dark Green,Excellent,3244
302878,Cha Bar,1,New Delhi,"N81, Oxford Bookstore, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,Cafe,500.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,2,3.9,Yellow,Good,3206
301489,Barbeque Nation,1,New Delhi,"2nd Floor, Munshilal Building, Block N, Outer Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"North Indian, Chinese",1600.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.1,Green,Very Good,3164
17092293,Bern's Steak House,216,Tampa Bay,"1208 S Howard Ave, Tampa, FL 33606",Hyde Park,"Hyde Park, Tampa Bay",82.48,27.93,"American, Desserts, Steak",70.00,Dollar($),FALSE,FALSE,FALSE,4,4.7,Dark Green,Excellent,3157
17099856,Datz,216,Tampa Bay,"2616 S Macdill Avenue, Tampa, FL 33629",Palma Ceia,"Palma Ceia, Tampa Bay",82.49,27.92,"Desserts, Bar Food",40.00,Dollar($),FALSE,FALSE,FALSE,3,4.7,Dark Green,Excellent,3074
311057,My Bar Headquarters,1,New Delhi,"N49, 2nd Floor, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"North Indian, Mughlai, Chinese",1000.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,3.7,Yellow,Good,3010
4631,Andhra Bhavan,1,New Delhi,"1, Ashoka Road, Feroze Shah Road, New Delhi",Feroze Shah Road,"Feroze Shah Road, New Delhi",77.23,28.62,"South Indian, Andhra",200.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,1,4.2,Green,Very Good,3010
304299,The Flying Saucer Cafe,1,New Delhi,"Ground Floor, Epicuria Food Mall, Nehru Place Metro Station, Nehru Place, New Delhi","Epicuria Food Mall, Nehru Place","Epicuria Food Mall, Nehru Place, New Delhi",77.25,28.55,"Italian, Mediterranean, Continental, North Indian",1600.00,Indian Rupees(Rs.),TRUE,FALSE,FALSE,3,4.3,Green,Very Good,3002
844,Khan Chacha,1,New Delhi,"Shop 50, 1st Floor, Middle Lane, Khan Market, New Delhi",Khan Market,"Khan Market, New Delhi",77.23,28.6,"Mughlai, North Indian",650.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,2,3.7,Yellow,Good,2860
11807,Barbeque Nation,1,Pune,"3rd Floor, R Deccan Mall, Near Deccan Gymkhana, JM Road, Pune","R Deccan Mall, JM Road","R Deccan Mall, JM Road, Pune",73.84,18.52,"North Indian, Mughlai",1700.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.5,Dark Green,Excellent,2847
306046,SodaBottleOpenerWala,1,Gurgaon,"3, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City","Cyber Hub, DLF Cyber City, Gurgaon",77.09,28.49,"Parsi, Iranian",1300.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4,Green,Very Good,2843
2742,Bukhara  ITC Maurya,1,New Delhi,"ITC Maurya, Chanakyapuri, New Delhi","ITC Maurya, Chanakyapuri","ITC Maurya, Chanakyapuri, New Delhi",77.17,28.6,North Indian,6500.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,4,4.4,Green,Very Good,2826
8913,Pirates of Grill,1,Gurgaon,"Ground Floor, MGF Mega City Mall, MG Road, Gurgaon","MGF Mega City Mall, MG Road","MGF Mega City Mall, MG Road, Gurgaon",77.09,28.48,"North Indian, Continental, Mughlai, Asian",2000.00,Indian Rupees(Rs.),TRUE,FALSE,FALSE,4,4.1,Green,Very Good,2806
3192,Big Chill,1,New Delhi,"DLF Place Mall, Saket, New Delhi","DLF Place Mall, Saket","DLF Place Mall, Saket, New Delhi",77.22,28.53,"Italian, Continental, European, Cafe",1500.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.4,Green,Very Good,2777
4825,QD's Restaurant,1,New Delhi,"2520, 1st Floor, Hudson Lane, Kingsway Camp, Delhi UniversityGTB Nagar, New Delhi",Delhi UniversityGTB Nagar,"Delhi UniversityGTB Nagar, New Delhi",77.2,28.7,"Chinese, North Indian, Fast Food, Italian",800.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,2,3.9,Yellow,Good,2724
3393,Parikrama  The Revolving Restaurant,1,New Delhi,"22, Antriksh Bhavan, Kasturba Gandhi Marg, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"North Indian, Chinese, Mughlai",2400.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,4,3.8,Yellow,Good,2689
34757,Joey's Pizza,1,Mumbai,"Shop 1, Plot D, Samruddhi Complex, Chincholi Bunder Road, Mindspace, Malad West, Mumbai",Malad West,"Malad West, Mumbai",72.83,19.18,Pizza,800.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,2,4.5,Dark Green,Excellent,2662
55,Berco's,1,New Delhi,"G2/43, Middle Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"Chinese, Thai",1100.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,3,3.9,Yellow,Good,2639
310143,Naturals Ice Cream,1,New Delhi,"L8, Outer Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,Ice Cream,150.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,1,4.9,Dark Green,Excellent,2620
312603,Lord of the Drinks,1,New Delhi,"G72, 1st Floor, Outer Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"European, Chinese, North Indian, Italian",2200.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,4,3.9,Yellow,Good,2589
24530,Santa's Fantasea,1,Kolkata,"9, Ballygunge Terrace, Near Anjali Jewellers, Golpark, Kolkata",Golpark,"Golpark, Kolkata",88.37,22.52,"Seafood, Chinese",800.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,2,4.2,Green,Very Good,2584
90847,Chili's,1,Hyderabad,"F 48, 1st Floor, Inorbit Mall, Hitech City, Hyderabad",Hitech City,"Hitech City, Hyderabad",78.39,17.43,"Mexican, American, TexMex, Burger",1800.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,3,4.6,Dark Green,Excellent,2553
1188,Lodi  The Garden Restaurant,1,New Delhi,"Opposite Mausam Bhawan, Near Gate 1, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",77.22,28.59,"European, Lebanese, Mediterranean",2600.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,4,4.2,Green,Very Good,2549
3077,Pirates of Grill,1,New Delhi,"C12, Vishal Enclave, Main Nazafgarh Road, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.12,28.65,"North Indian, Continental, Mughlai, Asian",1500.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.1,Green,Very Good,2514
208939,AB's Absolute Barbecues,214,Dubai,"Shop G05, Sidra Tower, Near GEMS Wellington School, Exit 36, Sheikh Zayed Road, Dubai Media City, Dubai",Dubai Media City,"Dubai Media City, Dubai",55.18,25.11,"Indian, Continental",160.00,Emirati Diram(AED),TRUE,FALSE,FALSE,3,4.8,Dark Green,Excellent,2510
13231,Le Plaisir,1,Pune,"759/125, Rajkamal, Opposite Kelkar Eye Hospital, Prabhat Road, Deccan Gymkhana, Pune",Deccan Gymkhana,"Deccan Gymkhana, Pune",73.84,18.51,"European, Desserts",1000.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.8,Dark Green,Excellent,2510
6957,My Bar Lounge & Restaurant,1,New Delhi,"G68, Near Metro Exit 7 & 8, Outer Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"North Indian, Chinese, Italian, Continental",1000.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,2.7,Orange,Average,2460
201340,The Cheesecake Factory,214,Dubai,"Ground Level, Near Aquarium, The Dubai Mall, Downtown Dubai, Dubai","The Dubai Mall,Downtown Dubai","The Dubai Mall,Downtown Dubai, Dubai",55.28,25.2,"American, Desserts",270.00,Emirati Diram(AED),FALSE,FALSE,FALSE,3,4.7,Dark Green,Excellent,2424
301011,Starbucks,1,New Delhi,"Block A, Hamilton House, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,Cafe,700.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,2,4.1,Green,Very Good,2417
50943,Sultans of Spice,1,Bangalore,"BluPetal Hotel, 60 Jyoti Nivas College Road, Koramangala 5th Block, Bangalore","BluPetal Hotel, Koramangala","BluPetal Hotel, Koramangala, Bangalore",77.62,12.93,"North Indian, Mughlai",1300.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,3,4.1,Green,Very Good,2416
306134,The Wine Company,1,Gurgaon,"Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City","Cyber Hub, DLF Cyber City, Gurgaon",77.09,28.5,"Italian, European",2000.00,Indian Rupees(Rs.),TRUE,FALSE,FALSE,4,2.4,Red,Poor,2412
58268,The Fatty Bao  Asian Gastro Bar,1,Bangalore,"610, 3rd Floor, 12th Main, Off 80 Feet Road, Indiranagar, Bangalore",Indiranagar,"Indiranagar, Bangalore",77.65,12.97,Asian,2400.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,4,4.7,Dark Green,Excellent,2369
309478,Ambrosia Bliss,1,New Delhi,"2nd Floor, L51 to 54, Outer Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"North Indian, Chinese, Italian, Continental",1800.00,Indian Rupees(Rs.),TRUE,FALSE,FALSE,3,4,Green,Very Good,2333
17060869,Texas de Brazil,216,Orlando,"5259 International Drive, Orlando, FL 32819",IDrive/Universal,"IDrive/Universal, Orlando",81.45,28.47,"Brazilian, Steak",100.00,Dollar($),FALSE,FALSE,FALSE,4,4.6,Dark Green,Excellent,2324
66457,Pind,1,Chennai,"2, Sarathy Nagar, 1st Main Road, Velachery, Chennai",Velachery,"Velachery, Chennai",80.22,12.98,"North Indian, Chinese",900.00,Indian Rupees(Rs.),TRUE,FALSE,FALSE,2,4,Green,Very Good,2272
308579,The Town House Cafe,1,New Delhi,"Munshilal Building, N Block, Outer Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"Continental, North Indian, Italian, Asian",2100.00,Indian Rupees(Rs.),TRUE,FALSE,FALSE,4,4,Green,Very Good,2252
301442,Imperfecto,1,New Delhi,"1A/1, Hauz Khas Village, New Delhi",Hauz Khas Village,"Hauz Khas Village, New Delhi",77.2,28.55,"Mediterranean, Italian, Continental, Spanish, North Indian",1800.00,Indian Rupees(Rs.),TRUE,FALSE,FALSE,3,3.7,Yellow,Good,2247
17580142,McGuire's Irish Pub & Brewery,216,Pensacola,"600 E Gregory Street, Pensacola, FL 32502",Pensacola,"Pensacola, Pensacola",87.2,30.42,"Burger, Bar Food, Steak",40.00,Dollar($),FALSE,FALSE,FALSE,3,4.9,Dark Green,Excellent,2238
24286,The Irish House,1,Kolkata,"5th Floor, Quest Mall, 33, Syed Ali Amir Avenue, Ballygunge, Kolkata","Quest Mall, Ballygunge","Quest Mall, Ballygunge, Kolkata",88.37,22.54,"European, American",1900.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.4,Green,Very Good,2224
93766,Olive Bistro,1,Hyderabad,"Road 46, Inside Durgam Cheruvu, Jubilee Hills, Hyderabad",Jubilee Hills,"Jubilee Hills, Hyderabad",78.39,17.43,"Mediterranean, Italian, European",2000.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,4,4.4,Green,Very Good,2218
305525,Cafe Lota,1,New Delhi,"National Crafts Museum, Gate 2, Bhairon Marg, Pragati Maidan, New Delhi",Pragati Maidan,"Pragati Maidan, New Delhi",77.24,28.61,"North Indian, South Indian, Bihari",1200.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.5,Dark Green,Excellent,2213
7417450,Talaga Sampireun,94,Tangerang,"Jl. Boulevard Bintaro Jaya Blok B7/N1, Bintaro Sektor 7, Pondok Aren, Tangerang",Pondok Aren,"Pondok Aren, Tangerang",106.73,6.27,"Sunda, Indonesian",200000.00,Indonesian Rupiah(IDR),FALSE,FALSE,FALSE,3,4.9,Dark Green,Excellent,2212
16512333,Britto's Bar & Restaurant,1,Goa,"Baga Calangute, Bardez, Baga, Goa",Baga,"Baga, Goa",73.75,15.56,"North Indian, Continental, Chinese, Seafood",1400.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,4,4.3,Green,Very Good,2191
2903,Kake Da Hotel,1,New Delhi,"67, Municipal Market, Connaught Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.64,North Indian,600.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,2,3.5,Yellow,Good,2185
307113,Diggin,1,New Delhi,"Anand Lok Shopping Centre, Opposite Gargi College, Anand Lok, New Delhi",Anand Lok,"Anand Lok, New Delhi",77.22,28.56,"Italian, Continental, Cafe",1400.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,3,4.2,Green,Very Good,2131
303960,Manhattan Brewery & Bar Exchange,1,Gurgaon,"1st Floor, Global Foyer Mall, Sector 43, Golf Course Road, Gurgaon","Global Foyer Mall, Golf Course Road","Global Foyer Mall, Golf Course Road, Gurgaon",77.1,28.46,"Finger Food, American, Continental, North Indian, Italian",2000.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,4,4.6,Dark Green,Excellent,2093
310448,Burger King,1,New Delhi,"E8, Inner Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"Burger, Fast Food",500.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,2,3.8,Yellow,Good,2093
18075122,The Fusion Kitchen,1,Mumbai,"Shop 1, Opposite Veda Building, Near Bhavdevi Garage, Holy Cross Road, IC colony, Borivali West, Mumbai",Borivali West,"Borivali West, Mumbai",72.85,19.25,"North Indian, Italian, Chinese, Mexican",1000.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,3,4.7,Dark Green,Excellent,2083
16527711,The Rolling Pin,1,Mumbai,"12, Janta Industrial Estate, Senapat Bapat Road, Lower Parel, Mumbai",Lower Parel,"Lower Parel, Mumbai",72.83,18.99,"Bakery, Desserts, Cafe",700.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,2,3.9,Yellow,Good,2076
18237753,Tea Villa Cafe,1,Mumbai,"31, Opposite Globus, Hill Road, Bandra West","Hill Road, Bandra West","Hill Road, Bandra West, Mumbai",72.83,19.06,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",1000.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,3,4.1,Green,Very Good,2040
490,Desi Vibes,1,Noida,"G50, 1st Floor, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.32,28.57,"North Indian, Mughlai",1400.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,3,3.8,Yellow,Good,2019
305453,Chew  Pan Asian Cafe,1,New Delhi,"M16, 1st Floor, Outer Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"Asian, Japanese, Chinese, Thai",1700.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,3,3.9,Yellow,Good,2003
17061231,The Ravenous Pig,216,Orlando,"565 W Fairbanks Avenue, Winter Park, FL 32789",Winter Park,"Winter Park, Orlando",81.36,28.59,Pub Food,40.00,Dollar($),FALSE,FALSE,FALSE,3,4.4,Green,Very Good,1998
306476,AMPM Cafe & Bar,1,New Delhi,"J 2/5, 3rd & 4th Floor, B.K. Dutt Market, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.12,28.65,"Continental, Italian, American",1400.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.1,Green,Very Good,1980
2786,Punjab Grill,1,New Delhi,"2nd Floor, Food Court, Select Citywalk Mall, Saket, New Delhi","Select Citywalk Mall, Saket","Select Citywalk Mall, Saket, New Delhi",77.22,28.53,"North Indian, Mughlai",1950.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,3,4.2,Green,Very Good,1971
304307,Wood Box Cafe,1,New Delhi,"1, DDA Market, Hudson Lane, Delhi UniversityGTB Nagar, New Delhi",Delhi UniversityGTB Nagar,"Delhi UniversityGTB Nagar, New Delhi",77.2,28.69,"Cafe, Fast Food, Italian, Chinese",650.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,2,3.8,Yellow,Good,1970
18246991,Odeon Social,1,New Delhi,"1st Floor, 23, Odeon Building, Radial 5, D Block, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,"Continental, American, Asian, North Indian",1600.00,Indian Rupees(Rs.),TRUE,FALSE,FALSE,3,4.1,Green,Very Good,1959
305905,Hard Rock Cafe,1,Gurgaon,"Unit 4/5/104/105, R Block, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City","Cyber Hub, DLF Cyber City, Gurgaon",77.09,28.49,"Mediterranean, Mexican, North Indian, American",2500.00,Indian Rupees(Rs.),TRUE,FALSE,FALSE,4,4.1,Green,Very Good,1949
18233593,Farzi Cafe,1,New Delhi,"38/39, Level 1, Block E , Inner Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,Modern Indian,2200.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,4,4.4,Green,Very Good,1942
2004,Indian Accent  The Manor,1,New Delhi,"The Manor, 77, Friends Colony, New Delhi",Friends Colony,"Friends Colony, New Delhi",77.26,28.57,Modern Indian,4000.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,4,4.9,Dark Green,Excellent,1934
